GeoType,GeogName,GeoID,Borough,MdHHIncE,Pop16plE
NTA2010,Bath Beach,BK27,Brooklyn,"58,243","26,855"
NTA2010,Bay Ridge,BK31,Brooklyn,"63,539","65,479"
NTA2010,Bedford,BK75,Brooklyn,"39,970","54,904"
NTA2010,Bensonhurst East,BK29,Brooklyn,"48,097","52,857"
NTA2010,Bensonhurst West,BK28,Brooklyn,"51,035","74,470"
NTA2010,Borough Park,BK88,Brooklyn,"36,893","67,904"
NTA2010,Brighton Beach,BK19,Brooklyn,"35,699","28,462"
NTA2010,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,"116,189","21,110"
NTA2010,Brownsville,BK81,Brooklyn,"24,504","45,400"
NTA2010,Bushwick North,BK77,Brooklyn,"46,485","48,546"
NTA2010,Bushwick South,BK78,Brooklyn,"39,733","60,916"
NTA2010,Canarsie,BK50,Brooklyn,"62,263","70,724"
NTA2010,Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,"91,757","34,479"
NTA2010,Clinton Hill,BK69,Brooklyn,"72,799","31,989"
NTA2010,Crown Heights North,BK61,Brooklyn,"40,678","87,976"
NTA2010,Crown Heights South,BK63,Brooklyn,"46,357","32,922"
NTA2010,Cypress Hills-City Line,BK83,Brooklyn,"45,720","38,106"
NTA2010,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,"94,542","35,416"
NTA2010,Dyker Heights,BK30,Brooklyn,"56,310","36,996"
NTA2010,East Flatbush-Farragut,BK91,Brooklyn,"53,207","43,376"
NTA2010,East New York,BK82,Brooklyn,"35,656","71,139"
NTA2010,East New York (Pennsylvania Ave),BK85,Brooklyn,"29,183","21,926"
NTA2010,East Williamsburg,BK90,Brooklyn,"53,891","31,807"
NTA2010,Erasmus,BK95,Brooklyn,"42,858","22,701"
NTA2010,Flatbush,BK42,Brooklyn,"48,896","84,948"
NTA2010,Flatlands,BK58,Brooklyn,"69,459","58,241"
NTA2010,Fort Greene,BK68,Brooklyn,"59,907","25,298"
NTA2010,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,"80,660","37,709"
NTA2010,Gravesend,BK26,Brooklyn,"38,573","24,649"
NTA2010,Greenpoint,BK76,Brooklyn,"74,283","30,264"
NTA2010,Homecrest,BK25,Brooklyn,"52,093","33,254"
NTA2010,Kensington-Ocean Parkway,BK41,Brooklyn,"54,163","28,137"
NTA2010,Madison,BK44,Brooklyn,"58,966","32,743"
NTA2010,Midwood,BK43,Brooklyn,"46,598","40,368"
NTA2010,North Side-South Side,BK73,Brooklyn,"73,312","45,544"
NTA2010,Ocean Hill,BK79,Brooklyn,"35,638","25,716"
NTA2010,Ocean Parkway South,BK46,Brooklyn,"54,104","15,103"
NTA2010,Park Slope-Gowanus,BK37,Brooklyn,"113,781","60,537"
NTA2010,park-cemetery-etc-Brooklyn,BK99,Brooklyn,"102,205",321
NTA2010,Prospect Heights,BK64,Brooklyn,"89,061","17,456"
NTA2010,Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,"43,485","55,671"
NTA2010,Rugby-Remsen Village,BK96,Brooklyn,"45,863","45,536"
NTA2010,Seagate-Coney Island,BK21,Brooklyn,"26,033","23,598"
NTA2010,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,"54,371","55,175"
NTA2010,Starrett City,BK93,Brooklyn,"24,601","10,433"
NTA2010,Stuyvesant Heights,BK35,Brooklyn,"41,269","54,071"
NTA2010,Sunset Park East,BK34,Brooklyn,"39,200","54,699"
NTA2010,Sunset Park West,BK32,Brooklyn,"47,397","45,626"
NTA2010,West Brighton,BK23,Brooklyn,"40,910","14,457"
NTA2010,Williamsburg,BK72,Brooklyn,"23,188","18,882"
NTA2010,Windsor Terrace,BK40,Brooklyn,"91,219","17,522"
NTA2010,Battery Park City-Lower Manhattan,MN25,Manhattan,"134,266","39,203"
NTA2010,Central Harlem North-Polo Grounds,MN03,Manhattan,"35,748","68,603"
NTA2010,Central Harlem South,MN11,Manhattan,"53,590","40,518"
NTA2010,Chinatown,MN27,Manhattan,"38,854","40,184"
NTA2010,Clinton,MN15,Manhattan,"81,845","41,934"
NTA2010,East Harlem North,MN34,Manhattan,"27,377","48,298"
NTA2010,East Harlem South,MN33,Manhattan,"36,766","49,982"
NTA2010,East Village,MN22,Manhattan,"73,965","41,068"
NTA2010,Gramercy,MN21,Manhattan,"116,266","26,343"
NTA2010,Hamilton Heights,MN04,Manhattan,"44,173","44,399"
NTA2010,Hudson Yards-Chelsea-Flat Iron-Union Square,MN13,Manhattan,"109,092","69,699"
NTA2010,Lenox Hill-Roosevelt Island,MN31,Manhattan,"105,539","71,047"
NTA2010,Lincoln Square,MN14,Manhattan,"121,137","51,778"
NTA2010,Lower East Side,MN28,Manhattan,"31,180","63,080"
NTA2010,Manhattanville,MN06,Manhattan,"30,871","20,103"
NTA2010,Marble Hill-Inwood,MN01,Manhattan,"40,278","43,004"
NTA2010,Midtown-Midtown South,MN17,Manhattan,"116,456","26,120"
NTA2010,Morningside Heights,MN09,Manhattan,"63,563","47,336"
NTA2010,Murray Hill-Kips Bay,MN20,Manhattan,"95,701","43,655"
NTA2010,park-cemetery-etc-Manhattan,MN99,Manhattan,,"1,759"
NTA2010,SoHo-TriBeCa-Civic Center-Little Italy,MN24,Manhattan,"121,638","36,989"
NTA2010,Stuyvesant Town-Cooper Village,MN50,Manhattan,"97,212","19,278"
NTA2010,Turtle Bay-East Midtown,MN19,Manhattan,"119,688","45,690"
NTA2010,Upper East Side-Carnegie Hill,MN40,Manhattan,"155,786","49,438"
NTA2010,Upper West Side,MN12,Manhattan,"99,320","114,942"
NTA2010,Washington Heights North,MN35,Manhattan,"48,800","62,317"
NTA2010,Washington Heights South,MN36,Manhattan,"39,841","79,005"
NTA2010,West Village,MN23,Manhattan,"119,593","61,658"
NTA2010,Yorkville,MN32,Manhattan,"99,282","71,542"
NTA2010,Airport,QN98,Queens,,0
NTA2010,Astoria,QN70,Queens,"59,453","68,317"
NTA2010,Auburndale,QN48,Queens,"74,862","17,073"
NTA2010,Baisley Park,QN76,Queens,"62,609","31,094"
NTA2010,Bayside-Bayside Hills,QN46,Queens,"81,794","37,551"
NTA2010,Bellerose,QN43,Queens,"74,950","21,707"
NTA2010,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,Queens,"80,924","22,761"
NTA2010,Briarwood-Jamaica Hills,QN35,Queens,"62,588","35,221"
NTA2010,Cambria Heights,QN33,Queens,"82,100","16,620"
NTA2010,College Point,QN23,Queens,"55,021","20,643"
NTA2010,Corona,QN25,Queens,"45,589","44,782"
NTA2010,Douglas Manor-Douglaston-Little Neck,QN45,Queens,"83,413","21,420"
NTA2010,East Elmhurst,QN27,Queens,"48,362","17,586"
NTA2010,East Flushing,QN52,Queens,"48,666","22,672"
NTA2010,Elmhurst,QN29,Queens,"44,367","68,715"
NTA2010,Elmhurst-Maspeth,QN50,Queens,"56,797","22,258"
NTA2010,Far Rockaway-Bayswater,QN15,Queens,"43,722","39,592"
NTA2010,Flushing,QN22,Queens,"37,698","60,539"
NTA2010,Forest Hills,QN17,Queens,"70,278","71,980"
NTA2010,Fresh Meadows-Utopia,QN41,Queens,"71,429","15,726"
NTA2010,Ft. Totten-Bay Terrace-Clearview,QN47,Queens,"76,137","18,858"
