Key,Name,Address,City,State,Zip,OldPhoto,OldPhotoYear,NewPhoto,NewPhotoYear,YearBuilt,Context
1,Statue of Liberty,Liberty Island,New York,New York,10004,https://cdn.theatlantic.com/assets/media/img/photo/2013/07/the-statue-of-liberty-127-years-at-americas-gatewa/l05_10101391/main_900.jpg?1420507486,1884,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Statue_of_Liberty_7.jpg/250px-Statue_of_Liberty_7.jpg,2014,1875,"The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor in New York, in the United States."
2,Empire State Buidling,20 West 34th Street,New York,New York,10001,http://nycitylens.com/wp-content/uploads/2016/05/63618_ca_object_representations_media_2029_mediumlarge.jpg,1932,https://aws-tiqets-cdn.imgix.net/images/content/cca6a94da73f40bf8e83012b21fd4226.jpg?auto=format&fit=crop&ixlib=python-1.1.2&q=25&s=e4570998813b2c0a5dfec3b178cd3d45&w=400&h=320&dpr=2.625,2017,1930s,"The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan, New York City. It was designed by Shreve, Lamb & Harmon and completed in 1931. The building has a roof height of 1,250 feet and stands a total of 1,454 feet tall, including its antenna."
3,Rockefeller Center,45 Rockefeller Plaza,New York,New York,10111,https://imgs.6sqft.com/wp-content/uploads/2014/12/21015456/Rockefeller-Center-Christmas-Tree-Skating-Rink.jpg,1936,https://d1v5vpeyrmf36z.cloudfront.net/media/CACHE/images/uploads/zinnia/holiday_tree_rink_sized/90e367ca7faa334a5e848a34992ca368.jpg,2015,1930s,"Rockefeller Center is a large complex consisting of 19 commercial buildings covering 22 acres between 48th and 51st Streets, facing Fifth Avenue in Midtown Manhattan, New York City."
4,Times Square,Times Square,Manhattan,New York,10036,https://i.pinimg.com/originals/f9/f4/a0/f9f4a059bec8d6f750da6327b89e956b.jpg,1938,https://cdn.britannica.com/s:500x350/66/154566-004-E9A17DA5.jpg,2018,1904,"Times Square is a major commercial intersection, tourist destination, entertainment center and neighborhood in the Midtown Manhattan section of New York City at the junction of Broadway and Seventh Avenue. It stretches from West 42nd to West 47th Streets."
5,Pennsylvania Station,393 7th Ave,New York,New York,10001,https://cdn.vox-cdn.com/thumbor/CcyWbE6A-xf66t17mGkBA7q0dTw=/0x0:4200x3267/1200x800/filters:focal(1764x1298:2436x1970)/cdn.vox-cdn.com/uploads/chorus_image/image/57504361/MNY219384.0.jpg,1911,https://kenrockwell.com/trips/2009-08-nyc/18/IMG_2010-lirr-penn.jpg,2009,1886,"Pennsylvania Station, also known as New York Penn Station or Penn Station, is the main intercity railroad station in New York City and the busiest in the Western Hemisphere, serving more than 600,000 passengers per weekday as of 2019."
6,Brooklyn Bridge,Brooklyn Bridge,New York,New York,10038,http://oldnyc-assets.nypl.org/600px/730695f-a.jpg,1920,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Brooklyn_Bridge_Postdlf.jpg/1024px-Brooklyn_Bridge_Postdlf.jpg,2005,1869,"The Brooklyn Bridge is a hybrid cable-stayed/suspension bridge in New York City. It connects the boroughs of Manhattan and Brooklyn, spanning the East River. The Brooklyn Bridge has a main span of 1,595.5 feet and a height of 276.5 ft above mean high water."
7,Grand Central Terminal,89 E 42nd St,New York,New York,10017,https://3.bp.blogspot.com/-JWHN0ouCRqk/WdMZ1sNH9RI/AAAAAAAAOQE/hHWrjfWu-ywoDS_SOPo8VmP279yUTLqRwCLcBGAs/s1600/grand_central_in_pictures%2B%25281%2529.jpg,1954,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/GCT_in_Blizzard_of_2015.jpg/1280px-GCT_in_Blizzard_of_2015.jpg,2015,1913,"The distinctive architecture and interior design of Grand Central Terminal's station house have earned it several landmark designations, including as a National Historic Landmark. Its Beaux-Arts design incorporates numerous works of art. Grand Central Terminal is one of the world's ten most visited tourist attractions,[7] with 21.9 million visitors in 2013, excluding train and subway passengers.[8] The terminal's main concourse is often used as a meeting place, and is especially featured in films and television. Grand Central Terminal contains a variety of stores and food vendors, including a food court on its lower-level concourse."
8,Bryant Park,Bryant Park,New York,New York,10018,http://oldnyc-assets.nypl.org/600px/717923f-b.jpg,1934,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/New-York_-_Bryant_Park.jpg/1280px-New-York_-_Bryant_Park.jpg,2012,1847,Bryant Park is a 9.603-acre privately managed public park located in the New York City borough of Manhattan. It is located between Fifth and Sixth Avenues and between 40th and 42nd Streets in Midtown Manhattan.
9,Carnegie Hall,881 7th Ave,New York,New York,10019,https://upload.wikimedia.org/wikipedia/commons/c/c8/Carnegie_Hall_in_1895.jpg,1895,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Carnegie_Hall%2C_NYC.jpg/800px-Carnegie_Hall%2C_NYC.jpg,2010,1891,"Designed by architect William Burnet Tuthill and built by philanthropist Andrew Carnegie in 1891, it is one of the most prestigious venues in the world for both classical music and popular music. Carnegie Hall has its own artistic programming, development, and marketing departments, and presents about 250 performances each season. It is also rented out to performing groups. "
10,Apollo Theater,253 W 125th St,New York,New York,10027,https://untappedcities-wpengine.netdna-ssl.com/wp-content/uploads/2014/01/Apollo-Theatre-Marquee-NYC.jpg,1946,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Apollo_Theater%2C_Harlem_%282009%29.jpg/800px-Apollo_Theater%2C_Harlem_%282009%29.jpg,2009,1914,"Since opening its doors in 1914 and introducing the first Amateur Night contests in 1934, the Apollo has played a major role in the emergence of jazz, swing, bebop, R&B, gospel, blues, and soul Ñ all quintessentially American music genres. Ella Fitzgerald, Sarah Vaughan, Billie Holiday, Sammy Davis Jr., James Brown, Gladys Knight, Luther Vandross, DÕAngelo, Lauryn Hill, and countless others began their road to stardom on the Apollo stage. Today, the Apollo is a respected not-for-profit, which presents concerts, performing arts, education and community outreach programs."
